"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Regression Test","0","Create, verify, delete","16","0","Customer","0"
"0","Regression Test","0","Delete, verify","1","0","Leads","0"
"0","Regression Test","0","Lead","2","0","Leads","0"
"0","Regression","0","Drag and drop, verify","1","0","Task","0"
"0","Regression","0","Delete, verify","1","0","Task","0"
"0","Regression Test","0","Add New Proposal","3","0","Proposal","0"
"0","Regression Test","0","Login","8","0","Login","0"
"0","Regression Test","0","Create, verify","1","0","Leads","0"
"0","Regression","0","Delete, verify","1","0","Project","0"
"0","Regression Test","0","Update, verify","1","0","Contract","0"
"0","Regression Test","0","Switch tab","1","0","Knowledge Base","0"
"0","Regression Test","0","Knowledge Base","3","0","Knowledge Base","0"
"0","Regression Test","0","Delete, verify","1","0","Customer","0"
"0","Regression","0","Verify","2","0","Task","0"
"0","Regression Test","0","Verify","1","0","Expense","0"
"1","Regression Test","0","Expense","3","0","Expense","0"
"0","Regression Test","0","Delete, verify","1","0","Contract","0"
"0","Regression Test","0","Verify","1","0","Dashboard","0"
"0","Regression","0","Create, verify","1","0","Project","0"
"0","Regression","0","Create, verify","1","0","Task","0"
"0","Regression Test","0","Create, verify","1","0","Contact","0"
"1","Regression Test","0","Delete, verify","0","0","Expense","0"
"0","Regression Test","0","Import, create, verify","1","0","Item","0"
"0","Regression Test","0","Item","2","0","Item","0"
"0","Regression Test","0","Create, verify","1","0","Contract","0"
"0","Regression Test","0","Delete, verify","1","0","Item","0"
"0","Regression Test","0","Delete, verify","1","0","Knowledge Base","0"
"0","Regression Test","0","Update, verify","1","0","Expense","0"
"0","Regression Test","0","Create","1","0","Knowledge Base","0"
"0","Regression Test","0","Create, verify","1","0","Expense","0"
"0","Regression Test","0","Create, verify","1","0","Customer","0"
"0","Regression","0","Update, verify","1","0","Task","0"
